row	column	strain	info
1	1	NT7173	
1	2	NT7173	
1	3	NT7294	
1	4	NT7294	
1	5	NT7339	
1	6	NT7339	
1	7	NT7353	
1	8	NT7353	
1	9	NT7343	
1	10	NT7343	
1	11	NT7286	
1	12	NT7286	
1	13	NT7331	
1	14	NT7331	
1	15	NT7333	
1	16	NT7333	
1	17	NT7321	
1	18	NT7321	
1	19	NT7282	
1	20	NT7282	
1	21	NT7303	
1	22	NT7303	
1	23	NT7304	
1	24	NT7304	
2	1	NT7173	
2	2	NT7173	
2	3	NT7294	
2	4	NT7294	
2	5	NT7339	
2	6	NT7339	
2	7	NT7353	
2	8	NT7353	
2	9	NT7343	
2	10	NT7343	
2	11	NT7286	
2	12	NT7286	
2	13	NT7331	
2	14	NT7331	
2	15	NT7333	
2	16	NT7333	
2	17	NT7321	
2	18	NT7321	
2	19	NT7282	
2	20	NT7282	
2	21	NT7303	
2	22	NT7303	
2	23	NT7304	
2	24	NT7304	
3	1	NT7295	
3	2	NT7295	
3	3	NT7296	
3	4	NT7296	
3	5	NT7318	
3	6	NT7318	
3	7	NT7319	
3	8	NT7319	
3	9	NT7325	
3	10	NT7325	
3	11	NT7299	
3	12	NT7299	
3	13	NT7324	
3	14	NT7324	
3	15	NT7356	
3	16	NT7356	
3	17	NT7335	
3	18	NT7335	
3	19	NT7337	
3	20	NT7337	
3	21	NT7323	
3	22	NT7323	
3	23	NT7291	
3	24	NT7291	
4	1	NT7295	
4	2	NT7295	
4	3	NT7296	
4	4	NT7296	
4	5	NT7318	
4	6	NT7318	
4	7	NT7319	
4	8	NT7319	
4	9	NT7325	
4	10	NT7325	
4	11	NT7299	
4	12	NT7299	
4	13	NT7324	
4	14	NT7324	
4	15	NT7356	
4	16	NT7356	
4	17	NT7335	
4	18	NT7335	
4	19	NT7337	
4	20	NT7337	
4	21	NT7323	
4	22	NT7323	
4	23	NT7291	
4	24	NT7291	
5	1	NT7301	
5	2	NT7301	
5	3	NT7302	
5	4	NT7302	
5	5	NT7303	
5	6	NT7303	
5	7	NT7304	
5	8	NT7304	
5	9	NT7318	
5	10	NT7318	
5	11	NT7348	
5	12	NT7348	
5	13	NT7305	
5	14	NT7305	
5	15	NT7306	
5	16	NT7306	
5	17	NT7308	
5	18	NT7308	
5	19	NT7344	
5	20	NT7344	
5	21	NT7327	
5	22	NT7327	
5	23	NT7307	
5	24	NT7307	
6	1	NT7301	
6	2	NT7301	
6	3	NT7302	
6	4	NT7302	
6	5	NT7303	
6	6	NT7303	
6	7	NT7304	
6	8	NT7304	
6	9	NT7318	
6	10	NT7318	
6	11	NT7348	
6	12	NT7348	
6	13	NT7305	
6	14	NT7305	
6	15	NT7306	
6	16	NT7306	
6	17	NT7308	
6	18	NT7308	
6	19	NT7344	
6	20	NT7344	
6	21	NT7327	
6	22	NT7327	
6	23	NT7307	
6	24	NT7307	
7	1	NT7294	
7	2	NT7294	
7	3	NT7173	
7	4	NT7173	
7	5	NT7323	
7	6	NT7323	
7	7	NT7291	
7	8	NT7291	
7	9	NT7321	
7	10	NT7321	
7	11	NT7282	
7	12	NT7282	
7	13	NT7341	
7	14	NT7341	
7	15	NT7342	
7	16	NT7342	
7	17	NT7331	
7	18	NT7331	
7	19	NT7333	
7	20	NT7333	
7	21	NT7343	
7	22	NT7343	
7	23	NT7286	
7	24	NT7286	
8	1	NT7294	
8	2	NT7294	
8	3	NT7173	
8	4	NT7173	
8	5	NT7323	
8	6	NT7323	
8	7	NT7291	
8	8	NT7291	
8	9	NT7321	
8	10	NT7321	
8	11	NT7282	
8	12	NT7282	
8	13	NT7341	
8	14	NT7341	
8	15	NT7342	
8	16	NT7342	
8	17	NT7331	
8	18	NT7331	
8	19	NT7333	
8	20	NT7333	
8	21	NT7343	
8	22	NT7343	
8	23	NT7286	
8	24	NT7286	
9	1	NT7296	
9	2	NT7296	
9	3	NT7295	
9	4	NT7295	
9	5	NT7309	
9	6	NT7309	
9	7	NT7310	
9	8	NT7310	
9	9	NT7328	
9	10	NT7328	
9	11	NT7329	
9	12	NT7329	
9	13	NT7318	
9	14	NT7318	
9	15	NT7281	
9	16	NT7281	
9	17	NT7322	
9	18	NT7322	
9	19	NT7283	
9	20	NT7283	
9	21	NT7290	
9	22	NT7290	
9	23	NT7318	
9	24	NT7318	
10	1	NT7296	
10	2	NT7296	
10	3	NT7295	
10	4	NT7295	
10	5	NT7309	
10	6	NT7309	
10	7	NT7310	
10	8	NT7310	
10	9	NT7328	
10	10	NT7328	
10	11	NT7329	
10	12	NT7329	
10	13	NT7318	
10	14	NT7318	
10	15	NT7281	
10	16	NT7281	
10	17	NT7322	
10	18	NT7322	
10	19	NT7283	
10	20	NT7283	
10	21	NT7290	
10	22	NT7290	
10	23	NT7318	
10	24	NT7318	
11	1	NT7302	
11	2	NT7302	
11	3	NT7301	
11	4	NT7301	
11	5	NT7320	
11	6	NT7320	
11	7	NT7355	
11	8	NT7355	
11	9	NT7340	
11	10	NT7340	
11	11	NT7357	
11	12	NT7357	
11	13	NT7343	
11	14	NT7343	
11	15	NT7286	
11	16	NT7286	
11	17	NT7340	
11	18	NT7340	
11	19	NT7357	
11	20	NT7357	
11	21	NT7286	
11	22	NT7286	
11	23	NT7283	
11	24	NT7283	
12	1	NT7302	
12	2	NT7302	
12	3	NT7301	
12	4	NT7301	
12	5	NT7320	
12	6	NT7320	
12	7	NT7355	
12	8	NT7355	
12	9	NT7340	
12	10	NT7340	
12	11	NT7357	
12	12	NT7357	
12	13	NT7343	
12	14	NT7343	
12	15	NT7286	
12	16	NT7286	
12	17	NT7340	
12	18	NT7340	
12	19	NT7357	
12	20	NT7357	
12	21	NT7286	
12	22	NT7286	
12	23	NT7283	
12	24	NT7283	
13	1	NT7318	
13	2	NT7318	
13	3	NT7349	
13	4	NT7349	
13	5	NT7330	
13	6	NT7330	
13	7	NT7332	
13	8	NT7332	
13	9	NT7318	
13	10	NT7318	
13	11	NT7290	
13	12	NT7290	
13	13	NT7318	
13	14	NT7318	
13	15	NT7289	
13	16	NT7289	
13	17	NT7326	
13	18	NT7326	
13	19	NT7300	
13	20	NT7300	
13	21	NT7322	
13	22	NT7322	
13	23	NT7343	
13	24	NT7343	
14	1	NT7318	
14	2	NT7318	
14	3	NT7349	
14	4	NT7349	
14	5	NT7330	
14	6	NT7330	
14	7	NT7332	
14	8	NT7332	
14	9	NT7318	
14	10	NT7318	
14	11	NT7290	
14	12	NT7290	
14	13	NT7318	
14	14	NT7318	
14	15	NT7289	
14	16	NT7289	
14	17	NT7326	
14	18	NT7326	
14	19	NT7300	
14	20	NT7300	
14	21	NT7322	
14	22	NT7322	
14	23	NT7343	
14	24	NT7343	
15	1	NT7338	
15	2	NT7338	
15	3	NT7351	
15	4	NT7351	
15	5	NT7334	
15	6	NT7334	
15	7	NT7336	
15	8	NT7336	
15	9	NT7307	
15	10	NT7307	
15	11	NT7327	
15	12	NT7327	
15	13	NT7320	
15	14	NT7320	
15	15	NT7355	
15	16	NT7355	
15	17	NT7355	
15	18	NT7355	
15	19	NT7342	
15	20	NT7342	
15	21	NT7341	
15	22	NT7341	
15	23	NT7342	
15	24	NT7342	
16	1	NT7338	
16	2	NT7338	
16	3	NT7351	
16	4	NT7351	
16	5	NT7334	
16	6	NT7334	
16	7	NT7336	
16	8	NT7336	
16	9	NT7307	
16	10	NT7307	
16	11	NT7327	
16	12	NT7327	
16	13	NT7320	
16	14	NT7320	
16	15	NT7355	
16	16	NT7355	
16	17	NT7355	
16	18	NT7355	
16	19	NT7342	
16	20	NT7342	
16	21	NT7341	
16	22	NT7341	
16	23	NT7342	
16	24	NT7342	
