Strain Identifier	Strain name	Evolution Experiment?	Parental Strain	Alternative Strain Name	Full Strain Name After Genome Analysis	ENA Accession	Alternative Genome Source	Reference (PMID)	Isolation origin	Year	Phenotype	German BSL level	Notes
NT12001	MG1655	0			Escherichia coli str. K-12 substr. MG1655	PRJNA57779		22081388;16738553;16397293;9278503	Diphtheria patient in Palo Alto, CA, USA	1922	Laboratory strain	1	
NT12002	MC4100	0			Escherichia coli str. K-12 substr. MC4100	PRJEB4621		781293	Derivation of K-12		Laboratory strain	1	
NT12003	W3110	0			Escherichia coli W3110			4568763	Derivation of K-12		Laboratory strain	1	
NT12004	BW25113	0			Escherichia coli BW25113	PRJNA257976		10829079	Derivation of K-12		Laboratory strain	1	
NT12005	BL21(DE3)	0			Escherichia coli BL21(DE3)	PRJEA161949		19786035	Probable commensal isolate from Institut Pasteur	1918	Laboratory strain	1	
NT12006	DH5a	0			Escherichia coli DH5a				Derivation of K-12		Laboratory strain	1	
NT12007	ED1a	0			Escherichia coli ED1a	PRJNA59379		19165319	Human feces	2000s	Commensal strain	1	
NT12008	iAi1	0			Escherichia coli IAI1	PRJNA59377		19165319	Human feces	1999	Commensal strain	1	
NT12009	OP50	0			Escherichia coli OP50	PRJNA49051			Derivation of strain B		Laboratory strain	1	
NT12010	Nissle 1917	0			Escherichia coli Nissle 1917	PRJNA186643			Commensal isolate from Freiburg, Germany	1917	Commensal strain	1	
NT12011	MP1	0			Escherichia coli MP1	PRJNA196008		24563035	Mouse feces	2014	Commensal strain	1	
NT12012	HS	0			Escherichia coli HS	PRJNA58393		18676672	Human feces		Commensal strain	1	
NT12013	BW38029	0			Escherichia coli BW25113	PRJNA257976			Derivation of K-12		Laboratory strain	1	
NT12014	CAG60056	0		(BW25113 pseudoHfr::(trp bla (-)) )	Escherichia coli BW25113	PRJNA257976			Derivation of K-12		Laboratory strain	1	
NT12015	ATCC 700728	0		DSM-17076	Escherichia coli ATCC 700728	PRJNA188364					Commensal strain	2	Serotype O157:H7; nontoxigenic
